Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-55-7914-01A-11D-2167-08	103	18	4	26	31
TCGA-55-7994-01A-11D-2184-08	1368	34	6	104	124
TCGA-55-7995-01A-11D-2184-08	510	4	9	41	138
TCGA-55-8085-01A-11D-2238-08	118	24	0	0	144
TCGA-55-8087-01A-11D-2238-08	0	8	6	5	8
TCGA-55-8089-01A-11D-2238-08	806	0	57	0	442
TCGA-55-8090-01A-11D-2238-08	66	5	4	11	6
TCGA-55-8091-01A-11D-2238-08	0	18	0	0	3
TCGA-55-8092-01A-11D-2238-08	352	43	12	27	168
TCGA-55-8094-01A-11D-2238-08	388	4	31	28	26
TCGA-55-8096-01A-11D-2238-08	117	18	0	0	15
TCGA-55-8097-01A-11D-2238-08	53	26	7	14	13
TCGA-55-8203-01A-11D-2238-08	424	28	0	0	0
TCGA-55-8204-01A-11D-2238-08	84	14	2	25	107
TCGA-55-8205-01A-11D-2238-08	273	7	33	31	212
TCGA-55-8206-01A-11D-2238-08	8	8	4	1	5
TCGA-55-8208-01A-11D-2238-08	100	8	1	27	202
TCGA-55-8299-01A-11D-2284-08	169	0	0	0	21
TCGA-55-8301-01A-11D-2284-08	209	4	1	36	44
TCGA-55-8302-01A-11D-2323-08	624	13	10	29	34
TCGA-55-8506-01A-11D-2393-08	1107	344	23	242	44
TCGA-55-8507-01A-11D-2393-08	871	17	9	86	51
TCGA-55-8510-01A-11D-2393-08	268	6	9	5	36
TCGA-55-8511-01A-11D-2393-08	434	20	11	20	99
TCGA-55-8512-01A-11D-2393-08	27	2	2	1	8
TCGA-55-8514-01A-11D-2393-08	246	32	0	0	18
TCGA-55-8614-01A-11D-2393-08	119	48	7	21	52
TCGA-55-8616-01A-11D-2393-08	438	18	8	41	18
TCGA-55-8621-01A-11D-2393-08	38	0	0	9	6
TCGA-55-A48X-01A-11D-A24D-08	331	1	9	11	36
TCGA-55-A48Y-01A-11D-A24D-08	0	22	0	0	346
TCGA-55-A48Z-01A-12D-A24P-08	21	9	0	18	9
TCGA-55-A490-01A-11D-A24D-08	1181	11	33	19	127
TCGA-55-A491-01A-11D-A24D-08	300	9	7	36	43
TCGA-55-A492-01A-11D-A24D-08	223	0	0	37	30
TCGA-55-A493-01A-11D-A24D-08	146	11	10	17	84
TCGA-55-A494-01A-11D-A24P-08	176	37	13	3	19
TCGA-55-A4DF-01A-11D-A24D-08	131	21	51	10	626
TCGA-55-A4DG-01A-11D-A24D-08	626	8	8	54	27
TCGA-55-A57B-01A-12D-A397-08	5	11	5	8	8
TCGA-5M-AAT4-01A-11D-A40P-10	26	92	16	27	19
TCGA-5M-AAT5-01A-21D-A40P-10	12	51	4	3	5
TCGA-5M-AAT6-01A-11D-A40P-10	0	1040	0	859	0
TCGA-5M-AATA-01A-31D-A40P-10	3	57	7	11	3
TCGA-5M-AATE-01A-11D-A40P-10	14	88	8	11	21
TCGA-62-8394-01A-11D-2323-08	41	16	6	12	62
TCGA-62-8395-01A-11D-2323-08	9	22	3	14	25
TCGA-62-8397-01A-11D-2323-08	7	5	4	5	4
TCGA-62-8398-01A-11D-2323-08	50	7	0	10	17
TCGA-62-8399-01A-21D-2323-08	253	31	21	16	228
TCGA-62-8402-01A-11D-2323-08	21	20	0	0	16
TCGA-62-A46O-01A-11D-A24D-08	642	18	23	54	198
TCGA-62-A46P-01A-11D-A24D-08	227	11	18	24	4
TCGA-62-A46R-01A-11D-A24D-08	94	17	10	13	38
TCGA-62-A46S-01A-11D-A24D-08	82	17	2	3	22
TCGA-62-A46U-01A-11D-A24D-08	15	10	0	6	13
TCGA-62-A46V-01A-11D-A24D-08	14	16	9	5	13
